#time;posL;posR;velL;velR
2020-11-23 10:23:19.820666;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:19.928089;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:20.029624;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:20.125527;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:20.234014;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:20.328034;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:20.427946;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:20.526291;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:20.628209;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:20.726000;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:20.828462;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:20.925891;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:21.028474;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:21.126401;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:21.229154;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:21.326094;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:21.429153;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:21.526139;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:21.629112;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:21.727010;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:21.828721;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:21.927896;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:22.030386;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:22.126413;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:22.229260;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:22.327146;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:22.429235;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:22.526772;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:22.629766;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:22.727105;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:22.829300;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:22.927264;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:23.029411;12549.0;22847.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:23.127405;12549.0;22847.0;8.0;5.0
#time;posL;posR;velL;velR
2020-11-23 10:23:23.229928;12655.0;22973.0;32.0;36.0
#time;posL;posR;velL;velR
2020-11-23 10:23:23.327306;13036.0;23407.0;77.0;70.0
#time;posL;posR;velL;velR
2020-11-23 10:23:23.429643;14072.0;24340.0;102.0;99.0
#time;posL;posR;velL;velR
2020-11-23 10:23:23.527329;15369.0;25621.0;126.0;129.0
#time;posL;posR;velL;velR
2020-11-23 10:23:23.630059;16980.0;27312.0;163.0;161.0
#time;posL;posR;velL;velR
2020-11-23 10:23:23.727062;19104.0;29390.0;186.0;189.0
#time;posL;posR;velL;velR
2020-11-23 10:23:23.830001;21526.0;31853.0;216.0;216.0
#time;posL;posR;velL;velR
2020-11-23 10:23:23.927260;24317.0;-30947.0;224.0;225.0
#time;posL;posR;velL;velR
2020-11-23 10:23:24.029908;27250.0;-28010.0;214.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:24.127651;30026.0;-25215.0;209.0;215.0
#time;posL;posR;velL;velR
2020-11-23 10:23:24.230244;-32738.0;-22407.0;226.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:24.327441;-29891.0;-19607.0;221.0;223.0
#time;posL;posR;velL;velR
2020-11-23 10:23:24.429673;-26990.0;-16699.0;219.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:24.527736;-24210.0;-13915.0;214.0;215.0
#time;posL;posR;velL;velR
2020-11-23 10:23:24.629965;-21422.0;-11095.0;226.0;223.0
#time;posL;posR;velL;velR
2020-11-23 10:23:24.727915;-18553.0;-8262.0;218.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:23:24.830465;-15708.0;-5392.0;217.0;217.0
#time;posL;posR;velL;velR
2020-11-23 10:23:24.927699;-12943.0;-2639.0;222.0;223.0
#time;posL;posR;velL;velR
2020-11-23 10:23:25.030029;-10053.0;221.0;217.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:25.128182;-7264.0;3057.0;220.0;217.0
#time;posL;posR;velL;velR
2020-11-23 10:23:25.230466;-4427.0;5879.0;225.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:23:25.327720;-1622.0;8669.0;220.0;223.0
#time;posL;posR;velL;velR
2020-11-23 10:23:25.430422;1277.0;11579.0;216.0;216.0
#time;posL;posR;velL;velR
2020-11-23 10:23:25.527895;4026.0;14325.0;223.0;225.0
#time;posL;posR;velL;velR
2020-11-23 10:23:25.630365;6920.0;17185.0;219.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:25.727826;9702.0;20011.0;218.0;216.0
#time;posL;posR;velL;velR
2020-11-23 10:23:25.830592;12532.0;22844.0;224.0;218.0
#time;posL;posR;velL;velR
2020-11-23 10:23:25.930283;15348.0;25628.0;223.0;223.0
#time;posL;posR;velL;velR
2020-11-23 10:23:26.032543;18234.0;28514.0;215.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:26.128176;20994.0;31296.0;219.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:26.232364;23865.0;-31403.0;221.0;222.0
#time;posL;posR;velL;velR
2020-11-23 10:23:26.330953;26660.0;-28562.0;222.0;216.0
#time;posL;posR;velL;velR
2020-11-23 10:23:26.433270;29508.0;-25743.0;221.0;222.0
#time;posL;posR;velL;velR
2020-11-23 10:23:26.528220;32298.0;-22922.0;222.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:26.630618;-30364.0;-20072.0;219.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:26.728640;-27547.0;-17293.0;216.0;225.0
#time;posL;posR;velL;velR
2020-11-23 10:23:26.831344;-24718.0;-14409.0;222.0;218.0
#time;posL;posR;velL;velR
2020-11-23 10:23:26.928444;-21910.0;-11614.0;221.0;218.0
#time;posL;posR;velL;velR
2020-11-23 10:23:27.030966;-19056.0;-8749.0;221.0;217.0
#time;posL;posR;velL;velR
2020-11-23 10:23:27.128756;-16255.0;-5976.0;222.0;222.0
#time;posL;posR;velL;velR
2020-11-23 10:23:27.231252;-13367.0;-3086.0;217.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:27.330204;-10591.0;-311.0;217.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:27.431500;-7740.0;2524.0;224.0;225.0
#time;posL;posR;velL;velR
2020-11-23 10:23:27.529620;-4930.0;5376.0;220.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:23:27.631169;-2108.0;8222.0;223.0;215.0
#time;posL;posR;velL;velR
2020-11-23 10:23:27.735983;703.0;10996.0;220.0;223.0
#time;posL;posR;velL;velR
2020-11-23 10:23:27.831407;3571.0;13883.0;220.0;216.0
#time;posL;posR;velL;velR
2020-11-23 10:23:27.928742;6378.0;16651.0;217.0;223.0
#time;posL;posR;velL;velR
2020-11-23 10:23:28.031440;9223.0;19517.0;219.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:28.129260;11999.0;22293.0;200.0;222.0
#time;posL;posR;velL;velR
2020-11-23 10:23:28.231653;14629.0;25196.0;150.0;214.0
#time;posL;posR;velL;velR
2020-11-23 10:23:28.330405;16519.0;27944.0;68.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:28.431769;17438.0;30776.0;37.0;203.0
#time;posL;posR;velL;velR
2020-11-23 10:23:28.530621;17841.0;-32148.0;10.0;174.0
#time;posL;posR;velL;velR
2020-11-23 10:23:28.631869;17962.0;-29908.0;-9.0;142.0
#time;posL;posR;velL;velR
2020-11-23 10:23:28.729240;17828.0;-28121.0;-58.0;113.0
#time;posL;posR;velL;velR
2020-11-23 10:23:28.831560;17064.0;-26644.0;-79.0;86.0
#time;posL;posR;velL;velR
2020-11-23 10:23:28.929484;16005.0;-25558.0;-80.0;79.0
#time;posL;posR;velL;velR
2020-11-23 10:23:29.031929;14985.0;-24549.0;-85.0;89.0
#time;posL;posR;velL;velR
2020-11-23 10:23:29.129411;13891.0;-23415.0;-85.0;79.0
#time;posL;posR;velL;velR
2020-11-23 10:23:29.231854;12792.0;-22372.0;-80.0;83.0
#time;posL;posR;velL;velR
2020-11-23 10:23:29.329561;11784.0;-21367.0;-87.0;84.0
#time;posL;posR;velL;velR
2020-11-23 10:23:29.432330;10680.0;-20207.0;-84.0;74.0
#time;posL;posR;velL;velR
2020-11-23 10:23:29.529627;9622.0;-19189.0;-80.0;86.0
#time;posL;posR;velL;velR
2020-11-23 10:23:29.632166;8563.0;-18112.0;-85.0;86.0
#time;posL;posR;velL;velR
2020-11-23 10:23:29.729659;7497.0;-17025.0;-85.0;76.0
#time;posL;posR;velL;velR
2020-11-23 10:23:29.832042;6418.0;-15991.0;-84.0;85.0
#time;posL;posR;velL;velR
2020-11-23 10:23:29.930311;5357.0;-14889.0;-80.0;82.0
#time;posL;posR;velL;velR
2020-11-23 10:23:30.032079;4285.0;-13834.0;-84.0;86.0
#time;posL;posR;velL;velR
2020-11-23 10:23:30.130077;3235.0;-12800.0;-85.0;84.0
#time;posL;posR;velL;velR
2020-11-23 10:23:30.232519;2157.0;-11682.0;-81.0;80.0
#time;posL;posR;velL;velR
2020-11-23 10:23:30.331276;1105.0;-10633.0;-85.0;83.0
#time;posL;posR;velL;velR
2020-11-23 10:23:30.433540;-7.0;-9554.0;-82.0;82.0
#time;posL;posR;velL;velR
2020-11-23 10:23:30.530200;-1020.0;-8517.0;-84.0;85.0
#time;posL;posR;velL;velR
2020-11-23 10:23:30.632571;-2097.0;-7413.0;-86.0;80.0
#time;posL;posR;velL;velR
2020-11-23 10:23:30.731079;-3195.0;-6376.0;-82.0;84.0
#time;posL;posR;velL;velR
2020-11-23 10:23:30.833642;-4253.0;-5310.0;-70.0;86.0
#time;posL;posR;velL;velR
2020-11-23 10:23:30.930296;-5140.0;-4214.0;-18.0;83.0
#time;posL;posR;velL;velR
2020-11-23 10:23:31.032703;-5347.0;-3126.0;60.0;82.0
#time;posL;posR;velL;velR
2020-11-23 10:23:31.130378;-4526.0;-2004.0;101.0;101.0
#time;posL;posR;velL;velR
2020-11-23 10:23:31.232854;-3178.0;-694.0;128.0;128.0
#time;posL;posR;velL;velR
2020-11-23 10:23:31.330331;-1576.0;945.0;165.0;159.0
#time;posL;posR;velL;velR
2020-11-23 10:23:31.432606;541.0;3034.0;187.0;191.0
#time;posL;posR;velL;velR
2020-11-23 10:23:31.530459;2953.0;5475.0;218.0;216.0
#time;posL;posR;velL;velR
2020-11-23 10:23:31.632619;5776.0;8307.0;224.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:31.730525;8641.0;11106.0;218.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:23:31.833067;11468.0;13949.0;215.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:31.930512;14233.0;16742.0;224.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:32.033174;17129.0;19633.0;220.0;218.0
#time;posL;posR;velL;velR
2020-11-23 10:23:32.130635;19920.0;22410.0;221.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:23:32.232985;22724.0;25246.0;223.0;222.0
#time;posL;posR;velL;velR
2020-11-23 10:23:32.330801;25605.0;28066.0;218.0;218.0
#time;posL;posR;velL;velR
2020-11-23 10:23:32.433559;28424.0;30906.0;216.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:23:32.530876;31184.0;-31821.0;223.0;222.0
#time;posL;posR;velL;velR
2020-11-23 10:23:32.633510;-31458.0;-28954.0;219.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:32.733561;-28693.0;-26154.0;222.0;217.0
#time;posL;posR;velL;velR
2020-11-23 10:23:32.835944;-25816.0;-23315.0;220.0;223.0
#time;posL;posR;velL;velR
2020-11-23 10:23:32.931427;-23002.0;-20505.0;215.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:23:33.033417;-20189.0;-17680.0;225.0;223.0
#time;posL;posR;velL;velR
2020-11-23 10:23:33.131296;-17334.0;-14832.0;219.0;218.0
#time;posL;posR;velL;velR
2020-11-23 10:23:33.233421;-14491.0;-11983.0;218.0;215.0
#time;posL;posR;velL;velR
2020-11-23 10:23:33.331345;-11747.0;-9216.0;224.0;222.0
#time;posL;posR;velL;velR
2020-11-23 10:23:33.433674;-8857.0;-6352.0;223.0;222.0
#time;posL;posR;velL;velR
2020-11-23 10:23:33.531233;-6016.0;-3519.0;215.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:33.633757;-3193.0;-698.0;219.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:23:33.731362;-407.0;2124.0;223.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:23:33.833654;2448.0;4967.0;223.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:33.931291;5259.0;7753.0;218.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:23:34.033826;8108.0;10599.0;219.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:34.131443;10916.0;13407.0;220.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:34.234199;13780.0;16271.0;221.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:23:34.331810;16563.0;19086.0;220.0;218.0
#time;posL;posR;velL;velR
2020-11-23 10:23:34.434181;19402.0;21933.0;222.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:34.531646;22217.0;24723.0;222.0;223.0
#time;posL;posR;velL;velR
2020-11-23 10:23:34.634480;25091.0;27607.0;217.0;218.0
#time;posL;posR;velL;velR
2020-11-23 10:23:34.732093;27865.0;30348.0;220.0;225.0
#time;posL;posR;velL;velR
2020-11-23 10:23:34.834312;30730.0;-32293.0;218.0;217.0
#time;posL;posR;velL;velR
2020-11-23 10:23:34.932604;-32017.0;-29502.0;221.0;218.0
#time;posL;posR;velL;velR
2020-11-23 10:23:35.034237;-29165.0;-26643.0;223.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:35.132007;-26361.0;-23864.0;219.0;224.0
#time;posL;posR;velL;velR
2020-11-23 10:23:35.234558;-23483.0;-20974.0;215.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:23:35.332212;-20708.0;-18195.0;217.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:35.434592;-17861.0;-15348.0;221.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:35.532644;-15076.0;-12529.0;225.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:35.634900;-12193.0;-9691.0;218.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:35.739186;-9383.0;-6887.0;220.0;222.0
#time;posL;posR;velL;velR
2020-11-23 10:23:35.834554;-6528.0;-4041.0;219.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:23:35.932275;-3725.0;-1216.0;217.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:23:36.034912;-903.0;1624.0;224.0;218.0
#time;posL;posR;velL;velR
2020-11-23 10:23:36.132596;1911.0;4414.0;196.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:23:36.234707;4508.0;7285.0;146.0;217.0
#time;posL;posR;velL;velR
2020-11-23 10:23:36.332407;6425.0;10065.0;72.0;216.0
#time;posL;posR;velL;velR
2020-11-23 10:23:36.434997;7317.0;12873.0;33.0;204.0
#time;posL;posR;velL;velR
2020-11-23 10:23:36.532458;7738.0;15478.0;5.0;171.0
#time;posL;posR;velL;velR
2020-11-23 10:23:36.635215;7839.0;17697.0;-12.0;143.0
#time;posL;posR;velL;velR
2020-11-23 10:23:36.732560;7694.0;19517.0;-52.0;113.0
#time;posL;posR;velL;velR
2020-11-23 10:23:36.835081;6969.0;20993.0;-81.0;81.0
#time;posL;posR;velL;velR
2020-11-23 10:23:36.932607;5955.0;22030.0;-86.0;88.0
#time;posL;posR;velL;velR
2020-11-23 10:23:37.035021;4841.0;23137.0;-82.0;83.0
#time;posL;posR;velL;velR
2020-11-23 10:23:37.132748;3786.0;24173.0;-85.0;83.0
#time;posL;posR;velL;velR
2020-11-23 10:23:37.235412;2721.0;25259.0;-85.0;83.0
#time;posL;posR;velL;velR
2020-11-23 10:23:37.334949;1655.0;26330.0;-82.0;83.0
#time;posL;posR;velL;velR
2020-11-23 10:23:37.436952;576.0;27386.0;-81.0;85.0
#time;posL;posR;velL;velR
2020-11-23 10:23:37.532779;-471.0;28438.0;-85.0;83.0
#time;posL;posR;velL;velR
2020-11-23 10:23:37.635517;-1543.0;29531.0;-86.0;81.0
#time;posL;posR;velL;velR
2020-11-23 10:23:37.732981;-2621.0;30585.0;-82.0;83.0
#time;posL;posR;velL;velR
2020-11-23 10:23:37.835495;-3691.0;31627.0;-81.0;86.0
#time;posL;posR;velL;velR
2020-11-23 10:23:37.933340;-4719.0;32703.0;-87.0;80.0
#time;posL;posR;velL;velR
2020-11-23 10:23:38.037133;-5821.0;-31752.0;-85.0;80.0
#time;posL;posR;velL;velR
2020-11-23 10:23:38.133007;-6888.0;-30711.0;-79.0;83.0
#time;posL;posR;velL;velR
2020-11-23 10:23:38.236170;-7938.0;-29618.0;-85.0;81.0
#time;posL;posR;velL;velR
