#time;posL;posR;velL;velR
2020-11-23 10:31:26.837977;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:26.927921;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:27.029624;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:27.126557;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:27.229044;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:27.327099;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:27.429503;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:27.526870;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:27.629581;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:27.727272;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:27.829599;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:27.927410;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:28.029459;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:28.127244;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:28.229798;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:28.327271;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:28.429970;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:28.527352;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:28.630267;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:28.727973;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:28.829850;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:28.927960;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:29.030237;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:29.127468;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:29.232820;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:29.327782;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:29.430278;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:29.528262;22571.0;20557.0;0.0;13.0
#time;posL;posR;velL;velR
2020-11-23 10:31:29.632184;22643.0;20661.0;37.0;38.0
#time;posL;posR;velL;velR
2020-11-23 10:31:29.728063;23124.0;21147.0;76.0;75.0
#time;posL;posR;velL;velR
2020-11-23 10:31:29.832006;24124.0;22107.0;97.0;100.0
#time;posL;posR;velL;velR
2020-11-23 10:31:29.928488;25390.0;23355.0;128.0;137.0
#time;posL;posR;velL;velR
2020-11-23 10:31:30.030946;27064.0;25115.0;160.0;158.0
#time;posL;posR;velL;velR
2020-11-23 10:31:30.128233;29146.0;27134.0;188.0;195.0
#time;posL;posR;velL;velR
2020-11-23 10:31:30.231145;31576.0;29615.0;217.0;215.0
#time;posL;posR;velL;velR
2020-11-23 10:31:30.330148;-31187.0;32376.0;223.0;226.0
#time;posL;posR;velL;velR
2020-11-23 10:31:30.432040;-28259.0;-30241.0;219.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:31:30.528685;-25489.0;-27468.0;219.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:31:30.630891;-22641.0;-24640.0;220.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:31:30.728609;-19818.0;-21809.0;217.0;218.0
#time;posL;posR;velL;velR
2020-11-23 10:31:30.830975;-16995.0;-18977.0;221.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:31:30.930093;-14192.0;-16179.0;222.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:31:31.032813;-11337.0;-13298.0;222.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:31:31.128369;-8524.0;-10496.0;217.0;217.0
#time;posL;posR;velL;velR
2020-11-23 10:31:31.230815;-5672.0;-7680.0;218.0;223.0
#time;posL;posR;velL;velR
2020-11-23 10:31:31.328597;-2883.0;-4873.0;220.0;223.0
#time;posL;posR;velL;velR
2020-11-23 10:31:31.430973;-12.0;-1973.0;222.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:31:31.528702;2795.0;811.0;218.0;217.0
#time;posL;posR;velL;velR
2020-11-23 10:31:31.631446;5599.0;3642.0;224.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:31:31.728968;8442.0;6438.0;219.0;223.0
#time;posL;posR;velL;velR
2020-11-23 10:31:31.831320;11286.0;9309.0;218.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:31:31.929348;14080.0;12111.0;219.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:31:32.031299;16949.0;14975.0;222.0;223.0
#time;posL;posR;velL;velR
2020-11-23 10:31:32.129662;19743.0;17776.0;218.0;218.0
#time;posL;posR;velL;velR
2020-11-23 10:31:32.231303;22558.0;20588.0;225.0;224.0
#time;posL;posR;velL;velR
2020-11-23 10:31:32.328745;25399.0;23428.0;218.0;218.0
#time;posL;posR;velL;velR
2020-11-23 10:31:32.431685;28264.0;26273.0;216.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:31:32.529287;31045.0;29048.0;225.0;224.0
#time;posL;posR;velL;velR
2020-11-23 10:31:32.631679;-31615.0;31945.0;219.0;218.0
#time;posL;posR;velL;velR
2020-11-23 10:31:32.729010;-28853.0;-30811.0;225.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:31:32.831405;-25965.0;-27952.0;216.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:31:32.929081;-23162.0;-25142.0;217.0;218.0
#time;posL;posR;velL;velR
2020-11-23 10:31:33.031472;-20333.0;-22320.0;222.0;223.0
#time;posL;posR;velL;velR
2020-11-23 10:31:33.129172;-17511.0;-19492.0;224.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:31:33.231507;-14617.0;-16628.0;216.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:31:33.329592;-11890.0;-13855.0;222.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:31:33.431875;-9019.0;-10993.0;221.0;222.0
#time;posL;posR;velL;velR
2020-11-23 10:31:33.529325;-6183.0;-8177.0;215.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:31:33.632359;-3368.0;-5328.0;219.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:31:33.729794;-562.0;-2517.0;222.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:31:33.832277;2305.0;326.0;219.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:31:33.930033;5073.0;3112.0;224.0;222.0
#time;posL;posR;velL;velR
2020-11-23 10:31:34.031967;7943.0;5969.0;220.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:31:34.129584;10765.0;8789.0;217.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:31:34.232366;13621.0;11637.0;218.0;217.0
#time;posL;posR;velL;velR
2020-11-23 10:31:34.329720;16381.0;14426.0;224.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:31:34.432358;19246.0;17281.0;222.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:31:34.532066;22049.0;20076.0;219.0;219.0
#time;posL;posR;velL;velR
