#time;x;y;z
2020-11-23 10:23:23.127405;0.047;-0.052;0.8770700636942479
#time;x;y;z
2020-11-23 10:23:23.229928;0.05;-0.052;0.9647770700636897
#time;x;y;z
2020-11-23 10:23:23.327306;0.05;-0.052;0.9647770700636897
#time;x;y;z
2020-11-23 10:23:23.429643;0.057;-0.051;0.9647770700636897
#time;x;y;z
2020-11-23 10:23:23.527329;0.079;-0.051;0.7893630573248345
#time;x;y;z
2020-11-23 10:23:23.630059;0.079;-0.051;1.0524840764331032
#time;x;y;z
2020-11-23 10:23:23.727062;0.095;-0.051;0.9647770700636897
#time;x;y;z
2020-11-23 10:23:23.830001;0.114;-0.05;1.0524840764331032
#time;x;y;z
2020-11-23 10:23:23.927260;0.135;-0.05;1.0524840764331032
#time;x;y;z
2020-11-23 10:23:24.029908;0.158;-0.05;0.7016560509553926
#time;x;y;z
2020-11-23 10:23:24.127651;0.18;-0.049;0.7893630573248345
#time;x;y;z
2020-11-23 10:23:24.230244;0.202;-0.049;1.0524840764331032
#time;x;y;z
2020-11-23 10:23:24.327441;0.224;-0.049;1.0524840764331032
#time;x;y;z
2020-11-23 10:23:24.429673;0.247;-0.048;1.0524840764331032
#time;x;y;z
2020-11-23 10:23:24.527736;0.269;-0.048;1.0524840764331032
#time;x;y;z
2020-11-23 10:23:24.629965;0.29;-0.048;1.140191082802545
#time;x;y;z
2020-11-23 10:23:24.727915;0.313;-0.047;1.140191082802545
#time;x;y;z
2020-11-23 10:23:24.830465;0.335;-0.047;1.140191082802545
#time;x;y;z
2020-11-23 10:23:24.927699;0.357;-0.046;1.2278980891719584
#time;x;y;z
2020-11-23 10:23:25.030029;0.379;-0.046;1.140191082802545
#time;x;y;z
2020-11-23 10:23:25.128182;0.401;-0.045;1.140191082802545
#time;x;y;z
2020-11-23 10:23:25.230466;0.423;-0.045;1.140191082802545
#time;x;y;z
2020-11-23 10:23:25.327720;0.445;-0.044;1.140191082802545
#time;x;y;z
2020-11-23 10:23:25.430422;0.467;-0.044;1.2278980891719584
#time;x;y;z
2020-11-23 10:23:25.527895;0.489;-0.044;1.2278980891719584
#time;x;y;z
2020-11-23 10:23:25.630365;0.511;-0.043;1.140191082802545
#time;x;y;z
2020-11-23 10:23:25.727826;0.533;-0.043;1.3156050955414003
#time;x;y;z
2020-11-23 10:23:25.830592;0.555;-0.042;1.2278980891719584
#time;x;y;z
2020-11-23 10:23:25.930283;0.577;-0.042;1.140191082802545
#time;x;y;z
2020-11-23 10:23:26.032543;0.6;-0.041;1.2278980891719584
#time;x;y;z
2020-11-23 10:23:26.128176;0.621;-0.041;1.3156050955414003
#time;x;y;z
2020-11-23 10:23:26.232364;0.643;-0.04;1.2278980891719584
#time;x;y;z
2020-11-23 10:23:26.330953;0.688;-0.039;1.2278980891719584
#time;x;y;z
2020-11-23 10:23:26.433270;0.688;-0.039;1.2278980891719584
#time;x;y;z
2020-11-23 10:23:26.528220;0.71;-0.039;1.3156050955414003
#time;x;y;z
2020-11-23 10:23:26.630618;0.732;-0.038;1.3156050955414003
#time;x;y;z
2020-11-23 10:23:26.728640;0.754;-0.038;1.2278980891719584
#time;x;y;z
2020-11-23 10:23:26.831344;0.776;-0.037;1.2278980891719584
#time;x;y;z
2020-11-23 10:23:26.928444;0.798;-0.037;1.2278980891719584
#time;x;y;z
2020-11-23 10:23:27.030966;0.82;-0.036;1.2278980891719584
#time;x;y;z
2020-11-23 10:23:27.128756;0.842;-0.036;1.2278980891719584
#time;x;y;z
2020-11-23 10:23:27.231252;0.864;-0.036;1.2278980891719584
#time;x;y;z
2020-11-23 10:23:27.330204;0.886;-0.035;1.2278980891719584
#time;x;y;z
2020-11-23 10:23:27.431500;0.908;-0.035;1.3156050955414003
#time;x;y;z
2020-11-23 10:23:27.529620;0.931;-0.034;1.3156050955414003
#time;x;y;z
2020-11-23 10:23:27.631169;0.953;-0.034;1.4033121019108137
#time;x;y;z
2020-11-23 10:23:27.735983;0.975;-0.033;1.3156050955414003
#time;x;y;z
2020-11-23 10:23:27.831407;0.997;-0.032;1.4033121019108137
#time;x;y;z
2020-11-23 10:23:27.928742;1.019;-0.032;1.4033121019108137
#time;x;y;z
2020-11-23 10:23:28.031440;1.041;-0.031;1.4033121019108137
#time;x;y;z
2020-11-23 10:23:28.129260;1.063;-0.031;1.4033121019108137
#time;x;y;z
2020-11-23 10:23:28.231653;1.103;-0.03;2.192675159235648
#time;x;y;z
2020-11-23 10:23:28.330405;1.103;-0.03;2.192675159235648
#time;x;y;z
2020-11-23 10:23:28.431769;1.13;-0.028;8.069044585987257
#time;x;y;z
2020-11-23 10:23:28.530621;1.13;-0.028;8.069044585987257
#time;x;y;z
2020-11-23 10:23:28.631869;1.14;-0.026;10.963375796178326
#time;x;y;z
2020-11-23 10:23:28.729240;1.146;-0.025;13.331464968152858
#time;x;y;z
2020-11-23 10:23:28.831560;1.15;-0.024;16.225796178343927
#time;x;y;z
2020-11-23 10:23:28.929484;1.15;-0.024;19.383248407643293
#time;x;y;z
2020-11-23 10:23:29.031929;1.15;-0.024;21.92675159235668
#time;x;y;z
2020-11-23 10:23:29.129411;1.15;-0.024;24.996496815286605
#time;x;y;z
2020-11-23 10:23:29.231854;1.15;-0.024;27.978535031847116
#time;x;y;z
2020-11-23 10:23:29.329561;1.15;-0.024;30.609745222929917
#time;x;y;z
2020-11-23 10:23:29.432330;1.15;-0.024;33.67949044585987
#time;x;y;z
2020-11-23 10:23:29.529627;1.15;-0.024;36.57382165605094
#time;x;y;z
2020-11-23 10:23:29.632166;1.15;-0.024;39.380445859872594
#time;x;y;z
2020-11-23 10:23:29.729659;1.15;-0.024;42.45019108280255
#time;x;y;z
2020-11-23 10:23:29.832042;1.15;-0.024;45.256815286624175
#time;x;y;z
2020-11-23 10:23:29.930311;1.15;-0.024;48.238853503184714
#time;x;y;z
2020-11-23 10:23:30.032079;1.15;-0.024;51.04547770700634
#time;x;y;z
2020-11-23 10:23:30.130077;1.15;-0.024;53.93980891719744
#time;x;y;z
2020-11-23 10:23:30.232519;1.15;-0.024;56.92184713375795
#time;x;y;z
2020-11-23 10:23:30.331276;1.15;-0.024;62.71050955414012
#time;x;y;z
2020-11-23 10:23:30.433540;1.15;-0.024;62.71050955414012
#time;x;y;z
2020-11-23 10:23:30.530200;1.15;-0.024;65.5171337579618
#time;x;y;z
2020-11-23 10:23:30.632571;1.15;-0.024;71.39350318471338
#time;x;y;z
2020-11-23 10:23:30.731079;1.15;-0.024;71.39350318471338
#time;x;y;z
2020-11-23 10:23:30.833642;1.15;-0.024;74.28783439490445
#time;x;y;z
2020-11-23 10:23:30.930296;1.15;-0.023;77.18216560509552
#time;x;y;z
2020-11-23 10:23:31.032703;1.151;-0.02;79.55025477707005
#time;x;y;z
2020-11-23 10:23:31.130378;1.152;-0.013;80.16420382165603
#time;x;y;z
2020-11-23 10:23:31.232854;1.153;-0.003;80.07649681528665
#time;x;y;z
2020-11-23 10:23:31.330331;1.156;0.009;80.16420382165603
#time;x;y;z
2020-11-23 10:23:31.432606;1.158;0.024;80.25191082802547
#time;x;y;z
2020-11-23 10:23:31.530459;1.161;0.043;80.25191082802547
#time;x;y;z
2020-11-23 10:23:31.632619;1.165;0.064;80.4273248407643
#time;x;y;z
2020-11-23 10:23:31.730525;1.169;0.086;80.25191082802547
#time;x;y;z
2020-11-23 10:23:31.833067;1.172;0.108;80.25191082802547
#time;x;y;z
2020-11-23 10:23:31.930512;1.176;0.129;80.4273248407643
#time;x;y;z
2020-11-23 10:23:32.033174;1.179;0.152;80.33961783439491
#time;x;y;z
2020-11-23 10:23:32.130635;1.183;0.173;80.25191082802553
#time;x;y;z
2020-11-23 10:23:32.232985;1.187;0.195;80.4273248407643
#time;x;y;z
2020-11-23 10:23:32.330801;1.194;0.239;80.33961783439491
#time;x;y;z
2020-11-23 10:23:32.433559;1.194;0.239;80.33961783439491
#time;x;y;z
2020-11-23 10:23:32.530876;1.198;0.26;80.4273248407643
#time;x;y;z
2020-11-23 10:23:32.633510;1.201;0.282;80.4273248407643
#time;x;y;z
2020-11-23 10:23:32.733561;1.205;0.304;80.51503184713374
#time;x;y;z
2020-11-23 10:23:32.835944;1.208;0.326;80.4273248407643
#time;x;y;z
2020-11-23 10:23:32.931427;1.212;0.348;80.4273248407643
#time;x;y;z
2020-11-23 10:23:33.033417;1.216;0.369;80.4273248407643
#time;x;y;z
2020-11-23 10:23:33.131296;1.219;0.391;80.4273248407643
#time;x;y;z
2020-11-23 10:23:33.233421;1.223;0.413;80.4273248407643
#time;x;y;z
2020-11-23 10:23:33.331345;1.226;0.434;80.4273248407643
#time;x;y;z
2020-11-23 10:23:33.433674;1.23;0.456;80.33961783439491
#time;x;y;z
2020-11-23 10:23:33.531233;1.234;0.478;80.33961783439491
#time;x;y;z
2020-11-23 10:23:33.633757;1.237;0.5;80.33961783439491
#time;x;y;z
2020-11-23 10:23:33.731362;1.241;0.522;80.4273248407643
#time;x;y;z
2020-11-23 10:23:33.833654;1.244;0.544;80.4273248407643
#time;x;y;z
2020-11-23 10:23:33.931291;1.252;0.587;80.4273248407643
#time;x;y;z
2020-11-23 10:23:34.033826;1.252;0.587;80.4273248407643
#time;x;y;z
2020-11-23 10:23:34.131443;1.255;0.609;80.4273248407643
#time;x;y;z
2020-11-23 10:23:34.234199;1.259;0.631;80.4273248407643
#time;x;y;z
2020-11-23 10:23:34.331810;1.263;0.652;80.51503184713374
#time;x;y;z
2020-11-23 10:23:34.434181;1.266;0.674;80.60273885350318
#time;x;y;z
2020-11-23 10:23:34.531646;1.27;0.696;80.60273885350318
#time;x;y;z
2020-11-23 10:23:34.634480;1.273;0.718;80.60273885350318
#time;x;y;z
2020-11-23 10:23:34.732093;1.277;0.739;80.51503184713374
#time;x;y;z
2020-11-23 10:23:34.834312;1.284;0.783;80.60273885350318
#time;x;y;z
2020-11-23 10:23:34.932604;1.284;0.783;80.60273885350318
#time;x;y;z
2020-11-23 10:23:35.034237;1.287;0.805;80.51503184713374
#time;x;y;z
2020-11-23 10:23:35.132007;1.291;0.827;80.51503184713374
#time;x;y;z
2020-11-23 10:23:35.234558;1.294;0.849;80.60273885350318
#time;x;y;z
2020-11-23 10:23:35.332212;1.298;0.87;80.60273885350318
#time;x;y;z
2020-11-23 10:23:35.434592;1.305;0.914;80.60273885350318
#time;x;y;z
2020-11-23 10:23:35.532644;1.305;0.914;80.60273885350318
#time;x;y;z
2020-11-23 10:23:35.634900;1.309;0.936;80.60273885350318
#time;x;y;z
2020-11-23 10:23:35.739186;1.312;0.957;80.51503184713374
#time;x;y;z
2020-11-23 10:23:35.834554;1.316;0.979;80.60273885350318
#time;x;y;z
2020-11-23 10:23:35.932275;1.319;1.001;80.51503184713374
#time;x;y;z
2020-11-23 10:23:36.034912;1.323;1.023;80.60273885350318
#time;x;y;z
2020-11-23 10:23:36.132596;1.326;1.045;80.51503184713374
#time;x;y;z
2020-11-23 10:23:36.234707;1.33;1.066;80.60273885350318
#time;x;y;z
2020-11-23 10:23:36.332407;1.333;1.084;81.21668789808916
#time;x;y;z
2020-11-23 10:23:36.434997;1.335;1.099;83.84789808917196
#time;x;y;z
2020-11-23 10:23:36.532458;1.336;1.111;87.09305732484074
#time;x;y;z
2020-11-23 10:23:36.635215;1.336;1.121;89.89968152866243
#time;x;y;z
2020-11-23 10:23:36.732560;1.336;1.128;92.3554777070064
#time;x;y;z
2020-11-23 10:23:36.835081;1.335;1.131;95.33751592356691
#time;x;y;z
2020-11-23 10:23:36.932607;1.335;1.131;98.14414012738854
#time;x;y;z
2020-11-23 10:23:37.035021;1.335;1.131;101.12617834394905
#time;x;y;z
2020-11-23 10:23:37.132748;1.335;1.131;104.10821656050956
#time;x;y;z
2020-11-23 10:23:37.235412;1.335;1.131;109.98458598726114
#time;x;y;z
2020-11-23 10:23:37.334949;1.335;1.131;109.98458598726114
#time;x;y;z
2020-11-23 10:23:37.436952;1.335;1.131;112.87891719745221
#time;x;y;z
2020-11-23 10:23:37.532779;1.335;1.131;115.77324840764328
#time;x;y;z
2020-11-23 10:23:37.635517;1.335;1.131;118.75528662420379
#time;x;y;z
2020-11-23 10:23:37.732981;1.336;1.131;121.64961783439492
#time;x;y;z
2020-11-23 10:23:37.835495;1.336;1.131;124.63165605095537
#time;x;y;z
2020-11-23 10:23:37.933340;1.335;1.131;127.43828025477706
#time;x;y;z
2020-11-23 10:23:38.037133;1.336;1.131;130.42031847133757
#time;x;y;z
2020-11-23 10:23:38.133007;1.335;1.131;136.2089808917197
#time;x;y;z
